FILENAME,SEC_CHECKBOX,SEC_SUBJECT,CHECKBOX,TEXT_BOX_PAIR,MARK,HANDWRITTEN,SIGNATURE
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\52-52,13,11,67,67,,11,1
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\55-86,2,2,6,6,34,529,77
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\95-96,21,21,88,88,1,47,2
"D:/PareIT/Combined\02 R Vanguard (Paul Chiu, M.D.) 2017-01-04 to 2017-10-26 .pdf\1-3",10,10,11,11,40,38,2
D:/PareIT/Combined\02-09-17 History & F-U Consultation.pdf\1-2,15,15,143,139,,36,2
D:/PareIT/Combined\02-16-17 Epidural Injection (2).pdf\3-3,12,11,98,84,13,23,1
D:/PareIT/Combined\03-09-17 Procedure Note -Epidural Injection.pdf\4-5,18,17,83,81,56,40,4
D:/PareIT/Combined\03-15-20 Bakersfield Heart Hospital.pdf\32-32,3,1,27,27,8,48,1
D:/PareIT/Combined\03-15-20 Bakersfield Heart Hospital.pdf\39-39,5,7,32,32,,2,1
D:/PareIT/Combined\03-23-17 F-U (2).pdf\1-1,8,8,74,72,,11,1
D:/PareIT/Combined\03-27-17 Interventional Pain Management Consult.pdf\4-8,17,17,5,5,53,12,
D:/PareIT/Combined\03-30-19 Emergency Documentation.pdf\4-4,1,2,18,9,,6,
D:/PareIT/Combined\03. (11-20-19 to 04-14-2020).pdf\1-14,53,53,236,240,,,8
D:/PareIT/Combined\039 - TMS Med Records.pdf\5-5,10,10,4,4,9,5,
D:/PareIT/Combined\039 - TMS Med Records.pdf\6-6,10,10,4,4,9,6,
D:/PareIT/Combined\039 - TMS Med Records.pdf\7-7,10,10,4,4,9,5,
D:/PareIT/Combined\04-16-19 Initial Neuro Eval.pdf\1-19,1,,22,,7,62,2
D:/PareIT/Combined\04-19-17 Initial Exam.pdf\4-4,2,1,14,,12,102,9
D:/PareIT/Combined\04. 06-01-20 thru 07-15-20.pdf\3-5,5,5,23,24,,,1
D:/PareIT/Combined\05. Glinn & Giordano 2.pdf\18-18,2,,24,24,,,
D:/PareIT/Combined\05. Glinn & Giordano 2.pdf\29-29,2,,24,24,,,
D:/PareIT/Combined\05. Glinn & Giordano 2.pdf\73-73,10,10,,,11,11,
D:/PareIT/Combined\05. Glinn & Giordano.pdf\73-73,10,10,,,11,11,
D:/PareIT/Combined\06.04.18.pdf\2-2,19,19,,,28,20,
D:/PareIT/Combined\08 R LACO 2018-02-16.pdf\5-8,1,1,28,14,17,87,
D:/PareIT/Combined\08-29-17 Follow up - Neck Pain.pdf\5-9,16,15,5,5,19,20,
D:/PareIT/Combined\08. Kern Radiology final.pdf\12-13,8,10,80,47,1,22,3
D:/PareIT/Combined\08. Syed Alma Pulmonary Records (2).pdf\19-19,,,,,3,39,2
D:/PareIT/Combined\08. Syed Alma Pulmonary Records (2).pdf\20-20,2,1,20,8,1,10,1
D:/PareIT/Combined\08. Syed Alma Pulmonary Records (2).pdf\21-21,,,,,2,48,
D:/PareIT/Combined\09-16-19 -Progress Note -Lower Back Pain.pdf\1-5,2,2,22,22,,,1
D:/PareIT/Combined\090717 Report.pdf\7-8,5,5,28,28,,,
D:/PareIT/Combined\1-21-20 Imaging RX.pdf\1-1,16,15,256,109,2,8,1
D:/PareIT/Combined\1-C - Copy 2.pdf\83-84,1,1,4,4,,42,1
D:/PareIT/Combined\1. Huntington Memrorila Hopital Medical Records.pdf\6-6,5,5,166,70,,3,1
D:/PareIT/Combined\1.15.19 REPORT & BILLING.pdf\17-17,1,1,19,19,1,6,1
"D:/PareIT/Combined\10. Scott Graham, M.D.- PQME Report 8-16-18.pdf\2-26",5,4,55,,,,1
D:/PareIT/Combined\10. Star Point Surgery Center.pdf\25-25,4,3,13,13,,12,
D:/PareIT/Combined\10. Star Point Surgery Center.pdf\40-40,4,4,12,12,,13,1
D:/PareIT/Combined\10. Star Point Surgery Center.pdf\47-48,14,11,100,98,,82,3
D:/PareIT/Combined\10.24.18 Report & EMG Rx.pdf\1-4,6,6,33,33,1,5,1
D:/PareIT/Combined\11.17.17 & 9.28.17.pdf\3-5,,,,,,,
D:/PareIT/Combined\11.27.19 Report.pdf\1-3,,,,,,,
D:/PareIT/Combined\11.29.17 injection report.pdf\1-3,,,,,,,1
D:/PareIT/Combined\11.30.2018 Report.pdf\1-2,,,,,,,1
"D:/PareIT/Combined\11.a James M. Richards, M.D. - Medical Records.pdf\1-7",,,,,,,1
"D:/PareIT/Combined\11.a James M. Richards, M.D. - Medical Records.pdf\10-11",,,,,,6,
"D:/PareIT/Combined\11.a James M. Richards, M.D. - Medical Records.pdf\12-12",,,,,,,
"D:/PareIT/Combined\11.a James M. Richards, M.D. - Medical Records.pdf\13-13",,,1,1,,19,
"D:/PareIT/Combined\11.a James M. Richards, M.D. - Medical Records.pdf\14-14",,,,,,1,
"D:/PareIT/Combined\11.a James M. Richards, M.D. - Medical Records.pdf\8-8",,,,,,,
"D:/PareIT/Combined\11.a James M. Richards, M.D. - Medical Records.pdf\9-9",,,,,,,
D:/PareIT/Combined\11.Kaiser records 04.18.pdf\7-9,,,,,,,
D:/PareIT/Combined\110117 Ortho Evaluation -Moshe Wilker.pdf\2-4,,,,,,,1
D:/PareIT/Combined\110117 Report.pdf\1-3,,,,,,,1
D:/PareIT/Combined\110515 MRI - Lumbar Spine.pdf\1-2,,,,,,,
D:/PareIT/Combined\111017 Report.pdf\1-4,,,,,,,1
D:/PareIT/Combined\111017 Report.pdf\5-5,,,,,,2,1
D:/PareIT/Combined\111017 Report.pdf\6-6,,,,,,,
D:/PareIT/Combined\111317 Operative Report.pdf\1-2,,,,,,,
D:/PareIT/Combined\111317 Procedure Report.pdf\1-3,,,,,,,
D:/PareIT/Combined\111717 Evaluation Report -Dr.pdf\1-16,,,,,,,1
D:/PareIT/Combined\112117 Ortho Evaluation.pdf\2-4,,,,,,,1
D:/PareIT/Combined\1156.475 - Dr. Konstas Report.pdf\1-2,,,,,,,1
D:/PareIT/Combined\12 Porter Ranch Medical Center [PT].pdf\1-15,8,6,44,31,7,43,1
D:/PareIT/Combined\12 Porter Ranch Medical Center [PT].pdf\1-15,6,5,39,30,6,53,
D:/PareIT/Combined\12 R Comprehensive Surgical Solutions (3-6-18).pdf,,,,,,,
D:/PareIT/Combined\12 R David S. Ramin MD 2019-01-28 Pre Op.pdf\2-2,,,,,,,
D:/PareIT/Combined\12 R David S. Ramin MD 2019-01-28 Pre Op.pdf\3-7,,,,,,,
D:/PareIT/Combined\12 R David S. Ramin MD 2019-01-28 Pre Op.pdf\8-11,,,,,,,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\10-10,,,,,,33,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\104-105,,,,,,,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\106-106,,,,,,3,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\107-107,,,,,,4,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\108-108,,,,,,,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\109-109,1,1,5,5,,6,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\11-11,,,,,,5,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\110-110,,,,,,3,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\111-111,,,,,,3,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\112-112,,,,,,,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\113-113,3,3,,,4,31,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\114-114,4,4,8,8,1,15,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\115-115,3,3,8,8,,5,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\116-116,,,,,,8,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\117-117,2,4,17,17,,14,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\118-118,2,3,8,7,4,30,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\12-13,,,,,4,4,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\14-14,,,,,,2,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\15-15,,,,,1,32,2
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\16-16,,,,,1,26,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\17-17,,,,,,9,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\18-18,,,,,1,29,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\19-19,,,,,,3,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\20-20,,,,,,30,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\21-21,,,,,1,29,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\22-22,,,,,,3,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\23-23,,,,,,,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\24-25,,,,,,,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\26-26,1,1,,,1,30,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\27-27,7,7,,,16,13,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\29-29,,,,,1,31,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\30-30,,,,,1,31,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\34-34,,,,,,,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\35-38,,,,,,,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\39-39,,,,,,,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\49-49,17,10,69,69,1,11,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\5-5,,,,,,24,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\55-56,21,21,231,209,6,24,2
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\58-59,19,22,226,203,8,29,2
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\6-6,,,,,,3,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\60-60,17,19,250,250,1,4,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\61-62,19,23,227,205,8,25,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\63-63,17,18,249,248,,2,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\64-65,19,16,227,203,2,31,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\66-66,17,14,252,250,,4,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\67-68,19,16,226,202,1,32,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\69-69,15,17,249,246,,5,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\7-7,,,,,,29,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\70-71,19,22,226,202,9,21,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\72-72,16,15,250,248,,1,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\73-77,,,,,,,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\78-79,21,25,253,238,7,38,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\80-80,6,6,130,130,,5,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\81-86,,,,,,,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\87-88,19,24,242,228,11,97,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\89-89,6,6,128,126,,3,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\9-9,,,,,,4,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\90-90,1,4,88,23,,5,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\91-92,,,,,,3,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\93-93,,,,,,,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\94-94,,,,,,,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\95-95,,,,,,3,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\96-96,,,,,,,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\97-97,,,,,,4,1
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\98-98,,,,,,4,
D:/PareIT/Combined\12 Simi  Health Center PRIOR R&B (2004 to 2020).pdf\99-103,,,,,,,
D:/PareIT/Combined\12-01-16 Post-op visit #3.pdf,,,,,,,2
D:/PareIT/Combined\12-01-17 Followup.pdf,,,,,,1,
D:/PareIT/Combined\12-01-18 Report.pdf,,,,,,,
D:/PareIT/Combined\12-04-08 follow up.pdf\1-2,,,,,,,1
D:/PareIT/Combined\12-05-12 pt note.pdf,,,,,,,
D:/PareIT/Combined\12-06-12 Procedure Report.pdf,,,,,,,1
D:/PareIT/Combined\12-07-17.pdf\1-2,,,,,,,1
D:/PareIT/Combined\12-11-12 pt note.pdf\1-2,,,,,,,
D:/PareIT/Combined\12-12-12 pt note.pdf,,,,,,,
"D:/PareIT/Combined\12-12-17 BILATER C4-C5, C5-C6, C6-C7 EPI INJ.pdf",,,,,,,1
"D:/PareIT/Combined\12-12-19 Michael Price, MD -Follow up.pdf\1-5",,,,,,,1
D:/PareIT/Combined\12-12-19 Psychotherapy notes.pdf\1-2,,,,,,,
D:/PareIT/Combined\12-13-16 Report.pdf,,,,,,,2
D:/PareIT/Combined\12-14-12 pt note.pdf,,,,,,,
D:/PareIT/Combined\12-17-14 - BEVERLY TOWER IMAGING - XRAY REPORTS OF CS TS and LS.pdf\1-1,,,,,,,
D:/PareIT/Combined\12-17-14 - BEVERLY TOWER IMAGING - XRAY REPORTS OF CS TS and LS.pdf\2-2,,,,,,,
D:/PareIT/Combined\12-17-14 - BEVERLY TOWER IMAGING - XRAY REPORTS OF CS TS and LS.pdf\3-3,,,,,,,
D:/PareIT/Combined\12-17-14 Procedure report.pdf\1-1,,,,,,,
D:/PareIT/Combined\12-18-19 Neuro F_U Report.pdf\1-11,,,,,,,2
D:/PareIT/Combined\12-19-12 pt note.pdf,,,,,,,
D:/PareIT/Combined\12-19-19 Psychotherapy notes.pdf,,,,,,1,1
D:/PareIT/Combined\12-20-12 pt note.pdf,,,,,,,
D:/PareIT/Combined\12-20-18 Followup.pdf,,,,,,,1
D:/PareIT/Combined\12-21-17  Neck Pain.pdf,,,,,,,1
D:/PareIT/Combined\12-22-16 X-Ray Lumbar Spine Report (San Jacinto).pdf\1-1,,,,,,,
D:/PareIT/Combined\12-22-16 X-Ray Pelvis Report (San Jacinto).pdf\1-1,,,,,,,
D:/PareIT/Combined\12-24-14 - BEVERLY TOWER IMAGING - MRI REPORTS FOR CS LS L-SHOULDER.pdf,,,,,,,
D:/PareIT/Combined\12-27-16 - SAMIMI - CHART NOTE.pdf,,,,,,,
D:/PareIT/Combined\12-27-17 Newport Care Long Beach.pdf,,,,,,,
"D:/PareIT/Combined\12-28-18 David Ramin, MD-Preoperative Consult (2).pdf",,,,,,,
"D:/PareIT/Combined\12-28-18 David Ramin, MD-Preoperative Consult.pdf",,,,,,,
D:/PareIT/Combined\12-6-17 - RHEE - DEFENSE EXPERT IMAGING REPORT.pdf,,,,,,,1
D:/PareIT/Combined\12-7-15 MRI Report - Right Shoulder.pdf,,,,,,,
D:/PareIT/Combined\12. 04-05-16 2.pdf\1-1,,,,,,,
D:/PareIT/Combined\12. 04-05-16.pdf\1-1,,,,,,,
D:/PareIT/Combined\12. 09-20-18 California Back & Pain Specialists.pdf\1-7,,,,,,,1
D:/PareIT/Combined\12. 10-25-18 California Back & Pain Specialists.pdf\1-4,,,,,,,
D:/PareIT/Combined\12. 12-06-18 California Back & Pain Specialists.pdf\1-2,,,,,,,
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\1-2,,,,,,,1
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\10-11,,,,,,,1
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\12-14,,,,,,,
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\15-16,,,,,,,1
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\17-18,,,,,,,1
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\19-20,,,,,,,
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\21-23,,,,,,,
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\24-24,,,,,,,
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\25-26,,,,,,,1
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\27-29,,,,,1,,
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\3-4,,,,,,,1
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\30-31,,,,,,,
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\5-6,,,,,,,
D:/PareIT/Combined\12. CCMC Central Cardiology.pdf\7-9,,,,,,,
D:/PareIT/Combined\12. Expert MRI.pdf,,,,,,,2
"D:/PareIT/Combined\12. Maheep Virdi, M.D.pdf\1-3",,,,,,,1
D:/PareIT/Combined\12. Prime Physical Therapy - Copy.pdf\10-11,9,9,74,74,,,1
D:/PareIT/Combined\12. Prime Physical Therapy - Copy.pdf\8-8,6,3,72,72,,,3
D:/PareIT/Combined\12. Prime Physical Therapy - Copy.pdf\9-9,6,3,72,72,,,3
D:/PareIT/Combined\12.13.18 Report.pdf\2-2,9,5,75,75,2,24,2
D:/PareIT/Combined\12.13.18 Report.pdf\4-4,7,3,74,74,2,42,1
D:/PareIT/Combined\12.13.18 Report.pdf\6-6,,,,,,1,
D:/PareIT/Combined\12.14.16 - Cervical facet injection.pdf\1-3,,,,,,,
D:/PareIT/Combined\12.14.16 - Cervical facet injection.pdf\4-4,,,,,,,
D:/PareIT/Combined\12.14.18 Report.pdf\1-6,,,,,,,2
D:/PareIT/Combined\12.16.19 Report.pdf\1-7,20,17,54,54,,,2
D:/PareIT/Combined\12.23.19 Report.pdf,13,18,57,57,,,2
D:/PareIT/Combined\12.30.19 Report.pdf,10,17,50,50,,,2
D:/PareIT/Combined\12.4.19 Report.pdf\1-3,,,,,,,
D:/PareIT/Combined\12.9.19 Report.pdf\1-7,16,14,45,45,,,2
D:/PareIT/Combined\120319 DR. ROTHMAN RPT ON IMAGING STUDIES OF CHESTER UMAYAM.pdf\1-2,,,,,,,1
D:/PareIT/Combined\120415 PM Consult.pdf\1-4,,,,,,,
D:/PareIT/Combined\120517 Report.pdf\1-2,,,,,,,1
D:/PareIT/Combined\121317 Follow up.pdf\1-2,,,,,,,1
D:/PareIT/Combined\121317 Report.pdf\1-7,,,,,,,1
D:/PareIT/Combined\121417 Initial Nuerosurgical Consult Report.pdf,,,,,,,
D:/PareIT/Combined\122117 MRI BRAIN.pdf\1-2,,,,,,,1
D:/PareIT/Combined\122817 DEXA Hip and Spine.pdf\1-2,,,,,,,
D:/PareIT/Combined\1288_001.pdf\1-1,,,,,,,
D:/PareIT/Combined\1288_001.pdf\2-2,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\11-13,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\14-14,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\15-15,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\16-17,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\18-19,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\20-20,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\21-21,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\22-23,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\24-24,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\25-25,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\26-26,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\27-27,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\28-29,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\30-30,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\31-32,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\33-33,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\34-34,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\35-35,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\36-37,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\38-38,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\39-40,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\41-41,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\42-43,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\44-44,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\45-45,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\46-46,,,,,,,
D:/PareIT/Combined\1293.087_005812654-04_OSCAR EDMUND MUNIZ _HEALTHPOINTE MEDICAL GROUP -96 pgs med recs and billin.pdf\47-47,,,,,,,
