FILENAME,SUBTITLE,CONTENT,FORM,TABLE,REP_HEADER_FOOTER,HEADER_FOOTER,TITLE,QUESTIONNAIRE,OTHER
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\19-21,11,21,8,4,5,4,3,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\27-27,12,17,5,,,3,4,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\30-31,14,26,10,2,4,2,10,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\34-35,19,25,4,3,4,2,7,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\37-38,5,14,4,3,4,2,6,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\40-43,29,35,5,7,7,5,11,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\44-46,1,11,7,6,5,4,8,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\51-53,26,30,3,3,6,3,7,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\54-55,17,12,18,,4,2,4,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\57-58,15,20,18,6,4,2,3,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\59-59,7,11,10,1,,3,2,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\61-61,9,10,11,2,,3,3,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\63-63,9,10,8,2,,3,2,,
D:/PareIT/Combined\003 - UCLA (Primary Care Physician) - Atkinson.pdf\64-65,10,14,15,2,4,2,8,,
D:/PareIT/Combined\003. Dr. Michael Komin.pdf\4-5,5,19,7,,4,7,4,,2
D:/PareIT/Combined\003. Dr. Michael Komin.pdf\8-12,1,17,8,,4,11,17,,
D:/PareIT/Combined\003. Komin Medical 03-09-18.pdf\1-4,21,30,5,1,4,4,11,,
D:/PareIT/Combined\003. Komin Medical 11-29-18.pdf\1-4,31,43,2,1,4,4,13,,
D:/PareIT/Combined\003_Dr. Laitin - Macias Report - January 2021 (PRATT001670-1673).pdf\1-4,,11,1,,4,4,8,,2
D:/PareIT/Combined\004. Quest Imaging MRI L-Spine w_o contrast 11-05-18.pdf\1-2,,13,7,,4,3,9,,3
D:/PareIT/Combined\004. Quest Imaging Records.pdf\27-28,,17,11,,4,7,10,,
D:/PareIT/Combined\004. Quest Imaging Records.pdf\29-30,1,15,10,,4,7,10,,
D:/PareIT/Combined\004. Quest Imaging Records.pdf\32-32,5,11,11,,,2,3,1,
D:/PareIT/Combined\004.Quest Imaging.pdf\22-25,18,34,15,,,9,11,,
D:/PareIT/Combined\004.Quest Imaging.pdf\32-33,8,19,7,,4,2,4,,
D:/PareIT/Combined\004.Quest Imaging.pdf\8-8,,7,11,,,3,18,,
D:/PareIT/Combined\004_Dr. Laitin - Nunez Report - January 2021 (PRATT001674-1677) .pdf\1-4,,12,1,,8,,8,,2
D:/PareIT/Combined\005. SCOI 03-26-16 to 03-03-17.pdf\1-2,6,16,1,,2,3,5,,2
D:/PareIT/Combined\005. SCOI 03-26-16 to 03-03-17.pdf\27-30,11,33,2,,7,7,13,,
D:/PareIT/Combined\005. SCOI 03-26-16 to 03-03-17.pdf\31-33,,24,4,,3,3,19,,2
D:/PareIT/Combined\005. SCOI 04-17-18 to 03-13-19.pdf\1-4,3,11,8,,4,8,4,4,2
D:/PareIT/Combined\005. SCOI 04-17-18 to 03-13-19.pdf\17-22,3,22,3,,5,13,10,,3
D:/PareIT/Combined\005. SCOI 04-17-18 to 03-13-19.pdf\23-23,9,31,26,,,3,21,1,1
D:/PareIT/Combined\005. SCOI 04-17-18 to 03-13-19.pdf\25-25,65,12,64,,,3,18,1,2
D:/PareIT/Combined\005. SCOI 04-17-18 to 03-13-19.pdf\42-43,,15,3,,2,5,8,,3
D:/PareIT/Combined\005. SCOI 04-17-18 to 03-13-19.pdf\9-12,20,13,5,,3,9,4,,3
D:/PareIT/Combined\005. SCOI.pdf\10-11,7,18,1,,2,5,5,,3
D:/PareIT/Combined\005. SCOI.pdf\17-17,1,18,6,,,3,4,,3
D:/PareIT/Combined\005. SCOI.pdf\23-24,6,16,1,,2,5,5,,3
D:/PareIT/Combined\005. SCOI.pdf\28-30,6,18,1,,3,7,5,,4
D:/PareIT/Combined\005. SCOI.pdf\31-33,11,32,3,,3,7,13,,
D:/PareIT/Combined\005. SCOI.pdf\34-35,6,17,1,,2,5,5,,3
D:/PareIT/Combined\005. SCOI.pdf\36-40,9,32,3,,5,12,11,,7
D:/PareIT/Combined\005. SCOI.pdf\7-8,,13,10,,3,4,9,,4
D:/PareIT/Combined\005820885-01_KAISER PERMANENTE -78 pages med recs.pdf\12-19,21,34,14,5,16,16,18,,2
D:/PareIT/Combined\005820885-01_KAISER PERMANENTE -78 pages med recs.pdf\57-61,11,31,3,3,10,15,3,,
D:/PareIT/Combined\005820885-01_KAISER PERMANENTE -78 pages med recs.pdf\7-11,,39,5,,9,16,34,,
D:/PareIT/Combined\007. Bahamas Surgery Center 03-04-19 (L5-S1 Epidural Inj).pdf\1-2,,13,3,,2,4,9,,3
D:/PareIT/Combined\008. Acupuncture.pdf\5-6,15,16,3,,2,3,4,,
D:/PareIT/Combined\009 - Pro Health Adv Img - (M) - Atkinson (Dos 9.3.17).pdf\1-2,,12,7,,4,5,4,,2
D:/PareIT/Combined\01 Hector Delgado DOS 05-13-2019.pdf\1-11,1,10,7,1,2,4,9,,1
D:/PareIT/Combined\01 Hector Delgado DOS 05-13-2019.pdf\12-15,19,18,17,1,8,4,6,,
D:/PareIT/Combined\01 Hector Delgado DOS 05-13-2019.pdf\16-16,7,10,5,1,,3,13,,
D:/PareIT/Combined\01 Hector Delgado DOS 05-13-2019.pdf\21-21,4,9,11,,,3,5,,
D:/PareIT/Combined\01 R 360 Wellness Grp 2016-11-30 to 2017-06-28.pdf\1-10,26,56,9,13,10,9,15,,12
D:/PareIT/Combined\01 R 360 Wellness Grp 2016-11-30 to 2017-06-28.pdf\11-17,,8,37,,7,7,1,7,7
D:/PareIT/Combined\01 R 360 Wellness Grp 2016-11-30 to 2017-06-28.pdf\18-22,,9,40,,10,,34,5,10
D:/PareIT/Combined\01 R Simi Valley UC (1-7-17 & 1-16-17).pdf\4-5,100,7,99,,2,2,6,,1
D:/PareIT/Combined\01-03-19 Follow up.pdf\1-3,5,16,3,,2,3,7,,1
D:/PareIT/Combined\01-04-17 Visit.pdf\1-2,17,16,5,,2,3,4,,1
D:/PareIT/Combined\01-05-17 Visit.pdf\1-2,17,16,4,,2,3,4,,1
D:/PareIT/Combined\01-08-18.pdf\1-2,18,21,4,,2,4,6,,1
D:/PareIT/Combined\01-09-17 Visit.pdf\1-1,16,13,6,,,3,4,,1
D:/PareIT/Combined\01-10-14 follow up.pdf\1-3,4,17,2,,3,1,10,,1
D:/PareIT/Combined\01-12-17 to 08-09-18 CA Back & Pain Specialist (2).pdf\14-17,6,26,4,,3,4,16,,
D:/PareIT/Combined\01-12-17 to 08-09-18 CA Back & Pain Specialist (2).pdf\7-7,2,14,4,,,1,28,2,1
D:/PareIT/Combined\01-17-19 Follow up.pdf\1-2,5,15,1,,4,2,7,,1
D:/PareIT/Combined\01-20-17 4-1_2 Mths Postop Rt shoulder rotator cuff repair w-decompression.pdf\1-2,5,17,4,,2,5,6,,3
D:/PareIT/Combined\01-20-17 Visit.pdf\1-2,15,17,4,,2,3,4,,1
D:/PareIT/Combined\01-21-13 Follow up.pdf\1-2,4,17,1,,2,1,8,,1
D:/PareIT/Combined\01-21-20 Follow up- Chronic low back pain.pdf\1-3,29,48,3,1,6,10,9,,2
D:/PareIT/Combined\01-23-17 Visit.pdf\1-2,15,17,4,,2,3,4,,1
D:/PareIT/Combined\01-24-13 Procedure Report.pdf\1-2,,13,2,,4,3,11,,1
D:/PareIT/Combined\01-25-17 Visit.pdf\1-2,15,17,4,,2,3,4,,1
D:/PareIT/Combined\01-30-17 Visit.pdf\1-2,15,17,4,,2,3,4,,1
D:/PareIT/Combined\01-31-17 Follow up.pdf\1-6,13,36,11,6,6,7,16,,
D:/PareIT/Combined\01-31-18 Follow up-Chronic Neck Pain.pdf\1-3,2,17,7,,4,7,11,,3
D:/PareIT/Combined\01. Accelerated Urgent Care 2.pdf\4-10,17,30,1,,,1,11,,13
D:/PareIT/Combined\01. Accelerated Urgent Care.pdf\1-3,8,17,5,,3,3,11,,1
D:/PareIT/Combined\01. Accelerated Urgent Care.pdf\4-10,19,34,1,,,,11,,12
D:/PareIT/Combined\01. Delano Ambulance Services.pdf\1-5,5,10,16,8,5,5,18,1,
D:/PareIT/Combined\01. Hall Ambulance (2).pdf\1-7,8,27,13,4,7,7,22,,6
D:/PareIT/Combined\01. Hall Ambulance (4).pdf\1-6,2,20,13,18,12,12,26,,5
D:/PareIT/Combined\01.04.2019 Report.pdf\1-4,11,28,3,,,8,13,,2
D:/PareIT/Combined\01.17.11 - Kaiser SFO ROI multiple facilities 8.17.07 - 8.21.15 pass 06301970.pdf\10-14,8,16,2,2,10,,5,,2
D:/PareIT/Combined\01.17.11 - Kaiser SFO ROI multiple facilities 8.17.07 - 8.21.15 pass 06301970.pdf\18-20,5,18,3,,6,,7,,9
D:/PareIT/Combined\01.17.11 - Kaiser SLN ROI mulitple facilities 8.17.07 - 8.21.15 pass 06301970.pdf\6-15,10,33,17,5,20,,35,,2
D:/PareIT/Combined\01.20.11 - Kaiser SFO ROI multiple facilities 8.17.07 - 8.21.15 pass 06301970.pdf\1-4,3,19,10,2,8,,23,,1
D:/PareIT/Combined\01.20.11 - Kaiser SFO ROI multiple facilities 8.17.07 - 8.21.15 pass 06301970.pdf\5-7,2,10,10,4,6,,24,1,1
D:/PareIT/Combined\01.20.11 - Kaiser SLN ROI mulitple facilities 8.17.07 - 8.21.15 pass 06301970.pdf\1-6,37,45,8,8,12,,21,,1
D:/PareIT/Combined\01.20.11 - Kaiser SLN ROI multiple facilities 8.17.07 - 8.13.15 pass 06301970 (16778168-1_MADU_ERNEST U_08_08_18)-2.pdf\1-6,6,28,14,7,12,,41,1,1
D:/PareIT/Combined\010. The Spine and Orthopedic Center.pdf\1-3,17,33,4,,3,4,11,,4
D:/PareIT/Combined\010. The Spine and Orthopedic Center.pdf\14-17,15,38,3,3,4,5,11,,4
D:/PareIT/Combined\010. The Spine and Orthopedic Center.pdf\18-22,,41,4,,,6,1,4,7
D:/PareIT/Combined\010. The Spine and Orthopedic Center.pdf\23-27,,47,1,,1,5,1,4,5
D:/PareIT/Combined\010. The Spine and Orthopedic Center.pdf\4-6,17,40,4,,3,4,10,,4
D:/PareIT/Combined\011. Keck Hospital of USC.pdf\1-6,6,15,14,3,17,13,22,,3
D:/PareIT/Combined\011. Keck Hospital of USC.pdf\15-18,8,19,5,,8,8,16,,
D:/PareIT/Combined\011. Keck Hospital of USC.pdf\8-14,21,48,13,,14,14,29,,
D:/PareIT/Combined\011918 Initial Report.pdf\1-8,15,27,9,4,8,17,16,,6
"D:/PareIT/Combined\012. Michael Price, MD 06-26-19.pdf\1-4",6,25,3,,3,4,15,,1
D:/PareIT/Combined\012318 Operative Report.pdf\1-2,,13,4,,4,5,10,,
D:/PareIT/Combined\01_08_18-01_25_18.pdf\1-4,18,37,6,,4,9,17,,2
D:/PareIT/Combined\01_08_18-01_25_18.pdf\11-14,19,36,6,,4,9,15,,2
D:/PareIT/Combined\01_08_18-01_25_18.pdf\15-16,,22,7,2,2,3,19,,
D:/PareIT/Combined\01_08_18-01_25_18.pdf\17-18,,19,7,2,2,3,13,,
D:/PareIT/Combined\01_08_18-01_25_18.pdf\7-10,7,9,3,7,3,9,3,,3
D:/PareIT/Combined\02 Hector Delgado DOS 05-16-2019.pdf\10-50,144,257,161,65,82,41,186,,
D:/PareIT/Combined\02 R Bruce Householder DC (1-13-17 to 12-19-17).pdf\16-22,7,32,3,4,6,7,13,1,1
D:/PareIT/Combined\02 R Corona Regional Medical Center.pdf\1-2,,12,13,,,8,6,,2
D:/PareIT/Combined\02 R Corona Regional Medical Center.pdf\24-24,,7,13,,1,2,8,1,4
D:/PareIT/Combined\02 R Corona Regional Medical Center.pdf\26-27,,9,9,3,,9,3,,
D:/PareIT/Combined\02 R Corona Regional Medical Center.pdf\3-13,29,56,30,,22,11,47,,
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\37-37,,7,4,,,2,29,,2
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\51-51,3,13,3,,,3,8,1,4
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\55-86,,97,9,38,38,76,40,,57
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\89-90,15,41,12,1,,1,15,2,5
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\91-92,1,23,15,1,,4,11,,11
D:/PareIT/Combined\02 R UCLA Medical Center 2010 charts.pdf\95-96,12,36,5,,4,2,16,2,12
D:/PareIT/Combined\02 R UCLA Medical Center 2018 X-rays.pdf\11-12,17,11,7,4,6,2,7,,
D:/PareIT/Combined\02 R UCLA Medical Center 2018 X-rays.pdf\16-16,11,7,3,6,,3,2,,
D:/PareIT/Combined\02 R UCLA Medical Center 2018 X-rays.pdf\17-18,13,19,9,5,6,2,12,,
D:/PareIT/Combined\02 R UCLA Medical Center 2018 X-rays.pdf\5-6,9,19,6,2,4,2,10,,
"D:/PareIT/Combined\02 R Vanguard (Paul Chiu, M.D.) 2017-01-04 to 2017-10-26 .pdf\20-23",20,32,4,1,7,5,15,,3
"D:/PareIT/Combined\02 R Vanguard (Paul Chiu, M.D.) 2017-01-04 to 2017-10-26 .pdf\25-28",22,35,4,1,7,5,15,,4
"D:/PareIT/Combined\02 R Vanguard (Paul Chiu, M.D.) 2017-01-04 to 2017-10-26 .pdf\30-34",21,36,4,1,9,6,16,,4
D:/PareIT/Combined\02-01-17 Visit.pdf\1-2,17,11,6,,2,3,4,,1
D:/PareIT/Combined\02-02-18 Follow up.pdf\1-3,5,15,3,,2,3,8,,1
D:/PareIT/Combined\02-03-20 Pre-Admit Evaluation.pdf\1-14,,19,1,21,13,15,17,,2
D:/PareIT/Combined\02-08-17 Visit.pdf\1-2,15,13,6,,2,3,4,,1
D:/PareIT/Combined\02-12-20 F_U and LDL measurement.pdf\1-3,,12,19,,6,3,,,4
D:/PareIT/Combined\02-16-17 Epidural Injection (2).pdf\3-3,11,18,1,,1,,14,,3
"D:/PareIT/Combined\02-17-16 Dr, Rhee, MR - Miao, Ailing.pdf\1-3",29,43,2,,6,,11,,1
D:/PareIT/Combined\02-17-17 Visit.pdf\1-2,16,18,2,,2,2,4,,1
D:/PareIT/Combined\02-17-20 Neuro Follow Up.pdf\1-12,31,49,4,,12,13,10,,2
D:/PareIT/Combined\02-21-17 Visit.pdf\1-2,15,16,3,,2,3,4,,1
D:/PareIT/Combined\02. (shoulder Sx recs incl. post-op)-09-26-19 to 10-16-19.pdf\11-14,,22,5,1,8,8,16,,1
D:/PareIT/Combined\02. (shoulder Sx recs incl. post-op)-09-26-19 to 10-16-19.pdf\2-3,2,24,7,,4,4,12,2,
D:/PareIT/Combined\02. Adventist Health Bakersfield.pdf\1-10,47,85,28,9,18,12,47,,1
D:/PareIT/Combined\02. Adventist Health Bakersfield.pdf\15-28,18,60,26,3,28,17,47,1,2
D:/PareIT/Combined\02. Delano Regional Medical Center.pdf\1-3,,9,23,,5,4,18,,1
D:/PareIT/Combined\02. Delano Regional Medical Center.pdf\22-24,,8,21,,5,4,17,,1
D:/PareIT/Combined\02. Delano Regional Medical Center.pdf\47-49,11,15,16,1,6,3,23,,1
D:/PareIT/Combined\02. Delano Regional Medical Center.pdf\57-62,,1,11,,12,6,7,,
D:/PareIT/Combined\02. Delano Regional Medical Center.pdf\63-72,22,55,57,,20,10,44,,
D:/PareIT/Combined\02. Delano Regional Medical Center.pdf\73-79,19,3,28,23,14,7,20,,
D:/PareIT/Combined\02. Dr. Price.pdf\5-7,3,21,2,,2,3,14,,1
D:/PareIT/Combined\021518 Follow Up Nuerosurgical Consultation.pdf\1-3,8,10,9,1,,1,5,,2
D:/PareIT/Combined\023 - Dr. David Lechuga Report - 06.29.2017.pdf\1-30,22,66,4,14,29,32,19,,4
"D:/PareIT/Combined\03 R InfoNeuro Group (Uzen Guven, M.D.) (11-9-16 to 6-6-17).pdf\11-12",13,27,5,,4,2,11,,1
"D:/PareIT/Combined\03 R InfoNeuro Group (Uzen Guven, M.D.) (11-9-16 to 6-6-17).pdf\13-14",14,28,5,,4,2,11,,1
"D:/PareIT/Combined\03 R InfoNeuro Group (Uzen Guven, M.D.) (11-9-16 to 6-6-17).pdf\15-16",16,28,4,,4,2,12,,1
"D:/PareIT/Combined\03 R InfoNeuro Group (Uzen Guven, M.D.) (11-9-16 to 6-6-17).pdf\19-20",13,25,4,,4,2,11,,1
"D:/PareIT/Combined\03 R InfoNeuro Group (Uzen Guven, M.D.) (11-9-16 to 6-6-17).pdf\23-30",,9,5,,5,2,6,,2
"D:/PareIT/Combined\03 R InfoNeuro Group (Uzen Guven, M.D.) (11-9-16 to 6-6-17).pdf\9-10",14,29,5,,4,2,11,,1
D:/PareIT/Combined\03 R ProHealth CS MRI (2-16-17).pdf\1-3,,13,3,,8,7,5,,2
D:/PareIT/Combined\03-02-17 Visit.pdf\1-2,16,18,3,,2,3,4,,1
D:/PareIT/Combined\03-04-13 pt note.pdf\1-2,2,12,2,,4,4,7,,
D:/PareIT/Combined\03-07-17 Spine Surgery Consult.pdf\20-21,5,13,7,1,2,3,6,,
D:/PareIT/Combined\03-09-17 Personal Injury Consultation (2).pdf\1-4,6,23,4,,3,4,16,,
D:/PareIT/Combined\03-09-17 Procedure Note -Epidural Injection.pdf\4-5,11,32,3,2,2,,16,,5
D:/PareIT/Combined\03-10-~1 (3).PDF\1-3,7,21,2,,5,6,13,,1
D:/PareIT/Combined\03-14-17 Visit.pdf\1-2,20,21,4,,2,3,4,,1
D:/PareIT/Combined\03-14-19 DME Report - Dr. Graham.pdf\1-16,18,30,7,28,15,16,22,,1
D:/PareIT/Combined\03-15-18 & 05-03-18 Rpts.pdf\2-3,14,33,3,,4,3,13,,2
D:/PareIT/Combined\03-15-18 & 05-03-18 Rpts.pdf\23-25,,16,5,3,4,10,6,,1
D:/PareIT/Combined\03-15-20 Bakersfield Heart Hospital.pdf\21-23,2,6,6,4,9,6,8,,
D:/PareIT/Combined\03-15-20 Bakersfield Heart Hospital.pdf\26-26,9,11,5,,,3,4,,
D:/PareIT/Combined\03-15-20 Bakersfield Heart Hospital.pdf\40-47,,43,46,40,32,16,41,,
D:/PareIT/Combined\03-15-20 Bakersfield Heart Hospital.pdf\55-55,,14,19,,1,4,14,,2
D:/PareIT/Combined\03-17-17 Follow up.pdf\1-6,16,37,3,6,6,7,21,,
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\125-127,6,12,3,,6,5,5,,3
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\134-136,,24,2,,6,4,19,,2
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\145-147,3,12,10,,,2,5,,2
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\151-153,4,11,10,,,2,5,,2
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\154-156,2,12,9,,,2,5,,2
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\160-161,12,17,7,1,,4,7,,1
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\162-162,5,12,10,,,1,5,,1
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\163-165,17,16,5,6,,5,7,,2
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\30-30,,25,1,,,3,16,,1
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\69-73,14,20,8,2,9,6,9,,
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\78-79,5,18,10,,,10,5,,1
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\82-86,7,29,5,,9,11,16,,
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\93-93,13,6,13,,,3,2,,
D:/PareIT/Combined\03-20-17 Lori Resp to RTP#1 by MMC.pdf\99-99,16,6,13,,,3,2,,
D:/PareIT/Combined\03-23-17_pe1ton_pcime report(1).pdf\56-61,6,14,5,3,6,7,14,6,2
D:/PareIT/Combined\03-26-19 Assessment Documentation.pdf\1-6,7,30,25,,12,6,21,,1
D:/PareIT/Combined\03-27-17 Interventional Pain Management Consult.pdf\1-3,26,45,7,,6,4,12,,5
D:/PareIT/Combined\03-29-17 Visit.pdf\1-1,15,17,3,,,3,4,,1
D:/PareIT/Combined\03-30-17 Visit.pdf\1-1,15,18,3,,,2,4,,1
D:/PareIT/Combined\03-30-19 Depart Summary.pdf\1-6,7,21,11,,12,6,24,,1
D:/PareIT/Combined\03-30-19 Depart Summary.pdf\9-15,14,21,5,,14,7,12,,3
D:/PareIT/Combined\03-31-17 MRI Lumbar Spine Rpt.pdf\1-4,,11,6,,7,9,6,,4
D:/PareIT/Combined\03. (11-20-19 to 04-14-2020).pdf\1-14,35,150,26,,28,51,63,,15
D:/PareIT/Combined\03. Comprehensive Medical Group (1_24_18-4_12_18).pdf\1-4,4,10,8,4,,1,19,,1
D:/PareIT/Combined\03. Comprehensive Medical Group (1_24_18-4_12_18).pdf\13-16,11,13,4,11,,1,12,,2
D:/PareIT/Combined\03. Comprehensive Medical Group (1_24_18-4_12_18).pdf\9-12,11,11,6,12,,1,8,,2
D:/PareIT/Combined\03. Comprehensive Medical Group (5_29_18-4_29_19).pdf\1-5,7,12,8,6,,1,18,,1
D:/PareIT/Combined\03. Comprehensive Medical Group (5_29_18-4_29_19).pdf\10-13,7,13,8,6,,1,18,,1
D:/PareIT/Combined\03. Comprehensive Medical Group (5_29_18-4_29_19).pdf\18-21,8,13,7,6,,1,18,,1
D:/PareIT/Combined\03. Comprehensive Medical Group (5_29_18-4_29_19).pdf\22-25,4,12,12,5,,1,21,,1
